Celltype_1	Celltype_2	Mean_AUROC	Match_type	Avgscore	hierarchy	Celltype_1_group	Celltype_2_group
Mouse|T cells	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|CD8 T cells	0.95	Reciprocal_top_hit	0.969086257865596	mh	Mouse	Human
Mouse|T cells	Human|NK cells	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|pre-B cells	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|T cells	Human|Platelet	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|Erythroids	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|Neutrophils	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|Monocytes	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|pDC	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|NK cells	0.99	Reciprocal_top_hit	0.995	mh	Mouse	Human
Mouse|NK cells	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|pre-B cells	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|NK cells	Human|Platelet	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|Erythroids	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|Neutrophils	NS	NS	0	mh	Mouse	Human
Mouse|B cells	Human|Monocytes	NS	NS	0	mh	Mouse	Human
