Barcode	tSNE1	tSNE2	tSNE3	celltype
bcBUYZ:WT_3	23.0076146595984	16.6491821483155	-7.80163268603362	Erythroid
bcBMMV:WT_3	13.0858136342087	28.7815197898458	-11.0062984081868	Erythroid
bcGKHM:WT_3	12.3268842668082	-6.25192864372155	-19.8280896522351	Neutrophil
bcCYQD:WT_3	-13.5071423739659	7.71416450742605	18.9404608863217	Macrophage
bcEBLJ:WT_3	12.1109881948923	28.9721825441709	-11.174029622677	Erythroid
bcEVJG:WT_3	15.0101785684244	-8.86342315267675	-10.3353334893806	Neutrophil
bcCQSQ:WT_3	26.2084522690312	9.5910969637571	-4.35211073926238	Erythroid
bcBCHU:WT_3	11.7027707516815	-20.9773333872435	-3.45439074541341	Neutrophil
bcAPIE:WT_3	13.9449075661167	28.670953662433	-11.0825467100998	Erythroid
bcGSHZ:WT_3	15.743558181089	-9.91550983756046	-15.6098747795316	Neutrophil
bcFEPV:WT_3	13.3372813662072	-7.43654822271292	-21.0597637396238	Neutrophil
bcAZMN:WT_3	12.3401948317957	29.8650585785893	-11.0854162890561	Erythroid
bcCRKB:WT_3	11.4820878659382	28.917046816319	-10.0508479314093	Erythroid
bcEJYV:WT_3	11.4162247475229	-8.92354913641497	-20.486982447677	Neutrophil
bcDCTY:WT_3	13.6676358927112	-9.62355567819084	-17.7474677826157	Neutrophil
bcECQL:WT_3	12.9208646840003	28.8589796446951	-11.1042872090798	Erythroid
bcDUGB:WT_3	14.4405200498827	27.8604682557913	-8.21350065605509	Erythroid
bcDYUG:WT_3	22.5618003638692	16.8562984390888	-6.65712256982625	Erythroid
bcGYPQ:WT_3	13.2063300753185	29.1031097986925	-8.25135000056382	Erythroid
bcBPUR:WT_3	24.3531740753905	-5.00134956598597	3.63811761278111	Macrophage
bcDZLB:WT_3	26.5149334582524	-7.03426626962424	2.65330168554009	Macrophage
bcDQII:WT_3	10.1601482433621	30.6639700814228	-10.4207184194763	Erythroid
bcDZGJ:WT_3	9.99834051911688	3.91401752121184	-3.26266212018769	NK/T cell
bcGXYR:WT_3	9.80392043857864	30.4856392934755	-11.6522410898132	Erythroid
bcDIFB:WT_3	28.8371881440485	21.2898293371188	-8.16496537865854	Erythroid
bcDBHE:WT_3	9.81552984384826	30.3862687737209	-12.4557398707964	Erythroid
bcAUVV:WT_3	26.7319975244952	-0.726692952945125	2.92187120124006	Erythroid
bcFBWS:WT_3	12.1932386794363	0.876561434760361	-0.693170428260297	HSCs
bcBGEX:WT_3	15.4182674603503	-9.99930736355034	-16.234885635506	Neutrophil
bcBPTZ:WT_3	13.5273832127539	-8.07140468727065	-21.0689380559764	Neutrophil
bcDMVC:WT_3	15.1767365349774	-8.54012777022423	-15.706799665488	Neutrophil
bcDXTV:WT_3	14.0054832064183	-6.9415378902549	-19.7932743226437	Neutrophil
bcDJLM:WT_3	26.6435199296504	21.8892463626285	-8.36145725421955	Erythroid
bcICSQ:WT_3	9.4331003347095	29.6313507161437	-10.2274653543459	Erythroid
bcHOWA:WT_3	12.2335775380443	-8.60928230285245	-17.2870167093591	Neutrophil
bcCGZR:WT_3	13.3671951574712	-10.4141419262089	-21.5381677229384	Neutrophil
bcEYRJ:WT_3	13.7736335112273	-9.08947393411671	-20.7978722551299	Neutrophil
bcGQTZ:WT_3	13.6266112550538	28.2919707357932	-10.5584646441248	Erythroid
bcEWNZ:WT_3	26.4635699154319	-4.24745789322443	2.75241458301655	Macrophage
bcADFG:WT_3	24.2039866854453	14.2762363843623	-6.77434680859124	Erythroid
bcAVXG:WT_3	7.51437831683478	31.9776377105951	-13.1525991935217	Erythroid
bcDFUR:WT_3	25.4884848732375	12.7231695006066	-4.83178828191636	Erythroid
